5x5
J=1.0;h=0.0;kT=2.7
t E M
7033856 100.0 25.0
7034880 100.0 25.0
7035904 100.0 25.0
7036928 100.0 25.0
7037952 100.0 25.0
7038976 100.0 25.0
7040000 100.0 25.0
7041024 100.0 25.0
7042048 100.0 25.0
7043072 100.0 25.0
7044096 100.0 25.0
7045120 100.0 25.0
7046144 100.0 25.0
7047168 100.0 25.0
7048192 100.0 25.0
7049216 100.0 25.0
7050240 100.0 25.0
7051264 100.0 25.0
7052288 100.0 25.0
7053312 100.0 25.0
7054336 100.0 25.0
7055360 100.0 25.0
7056384 100.0 25.0
7057408 100.0 25.0
7058432 100.0 25.0
7059456 100.0 25.0
7060480 100.0 25.0
7061504 100.0 25.0
7062528 68.0 21.0
7063552 100.0 25.0
7064576 100.0 25.0
7065600 100.0 25.0
7066624 100.0 25.0
7067648 100.0 25.0
7068672 100.0 25.0
7069696 84.0 23.0
7070720 100.0 25.0
7071744 100.0 25.0
7072768 100.0 25.0
7073792 100.0 25.0
7074816 84.0 23.0
7075840 100.0 25.0
7076864 100.0 25.0
7077888 100.0 25.0
7078912 100.0 25.0
7079936 100.0 25.0
7080960 100.0 25.0
7081984 100.0 25.0
7083008 100.0 25.0
7084032 100.0 25.0
7085056 100.0 25.0
7086080 100.0 25.0
7087104 100.0 25.0
7088128 100.0 25.0
7089152 100.0 25.0
7090176 100.0 25.0
7091200 100.0 25.0
7092224 100.0 25.0
7093248 100.0 25.0
7094272 100.0 25.0
7095296 100.0 25.0
7096320 100.0 25.0
7097344 100.0 25.0
7098368 100.0 25.0
7099392 100.0 25.0
7100416 100.0 25.0
7101440 100.0 25.0
7102464 100.0 25.0
7103488 100.0 25.0
7104512 100.0 25.0
7105536 100.0 25.0
7106560 100.0 25.0
7107584 84.0 23.0
7108608 100.0 25.0
7109632 100.0 25.0
7110656 100.0 25.0
7111680 100.0 25.0
7112704 100.0 25.0
7113728 76.0 21.0
7114752 84.0 23.0
7115776 100.0 25.0
7116800 100.0 25.0
7117824 100.0 25.0
7118848 100.0 25.0
7119872 100.0 25.0
7120896 100.0 25.0
7121920 100.0 25.0
7122944 100.0 25.0
7123968 84.0 23.0
7124992 100.0 25.0
7126016 100.0 25.0
7127040 100.0 25.0
7128064 100.0 25.0
7129088 100.0 25.0
7130112 100.0 25.0
7131136 100.0 25.0
7132160 100.0 25.0
7133184 100.0 25.0
7134208 100.0 25.0
7135232 100.0 25.0
7136256 100.0 25.0
7137280 100.0 25.0
7138304 100.0 25.0
7139328 84.0 23.0
7140352 100.0 25.0
7141376 100.0 25.0
7142400 100.0 25.0
7143424 100.0 25.0
7144448 100.0 25.0
7145472 100.0 25.0
7146496 100.0 25.0
7147520 100.0 25.0
7148544 100.0 25.0
7149568 100.0 25.0
7150592 100.0 25.0
7151616 100.0 25.0
7152640 84.0 23.0
7153664 100.0 25.0
7154688 100.0 25.0
7155712 100.0 25.0
7156736 100.0 25.0
7157760 100.0 25.0
7158784 100.0 25.0
7159808 100.0 25.0
7160832 100.0 25.0
7161856 100.0 25.0
7162880 100.0 25.0
7163904 100.0 25.0
7164928 100.0 25.0
7165952 100.0 25.0
7166976 100.0 25.0
7168000 100.0 25.0
7169024 100.0 25.0
7170048 100.0 25.0
7171072 100.0 25.0
7172096 100.0 25.0
7173120 100.0 25.0
7174144 100.0 25.0
7175168 100.0 25.0
7176192 84.0 23.0
7177216 100.0 25.0
7178240 100.0 25.0
7179264 100.0 25.0
7180288 100.0 25.0
7181312 84.0 23.0
7182336 100.0 25.0
7183360 100.0 25.0
7184384 84.0 23.0
7185408 100.0 25.0
7186432 100.0 25.0
7187456 100.0 25.0
7188480 100.0 25.0
7189504 100.0 25.0
7190528 100.0 25.0
7191552 100.0 25.0
7192576 100.0 25.0
7193600 100.0 25.0
7194624 100.0 25.0
7195648 100.0 25.0
7196672 100.0 25.0
7197696 100.0 25.0
7198720 100.0 25.0
7199744 100.0 25.0
7200768 100.0 25.0
7201792 100.0 25.0
7202816 100.0 25.0
7203840 100.0 25.0
7204864 100.0 25.0
7205888 100.0 25.0
7206912 100.0 25.0
7207936 84.0 23.0
7208960 100.0 25.0
7209984 100.0 25.0
7211008 100.0 25.0
7212032 100.0 25.0
7213056 100.0 25.0
7214080 100.0 25.0
7215104 100.0 25.0
7216128 100.0 25.0
7217152 100.0 25.0
7218176 100.0 25.0
7219200 100.0 25.0
7220224 84.0 23.0
7221248 100.0 25.0
7222272 84.0 23.0
7223296 100.0 25.0
7224320 100.0 25.0
7225344 100.0 25.0
7226368 100.0 25.0
7227392 100.0 25.0
7228416 100.0 25.0
7229440 100.0 25.0
7230464 100.0 25.0
7231488 100.0 25.0
7232512 100.0 25.0
7233536 100.0 25.0
7234560 100.0 25.0
7235584 84.0 23.0
7236608 100.0 25.0
7237632 100.0 25.0
7238656 100.0 25.0
7239680 100.0 25.0
7240704 100.0 25.0
7241728 100.0 25.0
7242752 100.0 25.0
7243776 100.0 25.0
7244800 100.0 25.0
7245824 100.0 25.0
7246848 100.0 25.0
7247872 100.0 25.0
7248896 100.0 25.0
7249920 100.0 25.0
7250944 100.0 25.0
7251968 100.0 25.0
7252992 100.0 25.0
7254016 100.0 25.0
7255040 100.0 25.0
7256064 100.0 25.0
7257088 100.0 25.0
7258112 100.0 25.0
7259136 100.0 25.0
7260160 100.0 25.0
7261184 100.0 25.0
7262208 100.0 25.0
7263232 100.0 25.0
7264256 100.0 25.0
7265280 100.0 25.0
7266304 84.0 23.0
7267328 100.0 25.0
7268352 100.0 25.0
7269376 100.0 25.0
7270400 100.0 25.0
7271424 100.0 25.0
7272448 100.0 25.0
7273472 100.0 25.0
7274496 76.0 21.0
7275520 100.0 25.0
7276544 100.0 25.0
7277568 100.0 25.0
7278592 100.0 25.0
7279616 100.0 25.0
7280640 100.0 25.0
7281664 100.0 25.0
7282688 100.0 25.0
7283712 100.0 25.0
7284736 100.0 25.0
7285760 100.0 25.0
7286784 100.0 25.0
7287808 100.0 25.0
7288832 100.0 25.0
7289856 100.0 25.0
7290880 100.0 25.0
7291904 100.0 25.0
7292928 84.0 23.0
7293952 84.0 23.0
7294976 100.0 25.0
7296000 100.0 25.0
7297024 100.0 25.0
7298048 100.0 25.0
7299072 100.0 25.0
7300096 100.0 25.0
7301120 100.0 25.0
7302144 100.0 25.0
7303168 100.0 25.0
7304192 100.0 25.0
7305216 100.0 25.0
7306240 100.0 25.0
7307264 100.0 25.0
7308288 100.0 25.0
7309312 100.0 25.0
7310336 100.0 25.0
7311360 100.0 25.0
7312384 100.0 25.0
7313408 100.0 25.0
7314432 100.0 25.0
7315456 100.0 25.0
7316480 100.0 25.0
7317504 100.0 25.0
7318528 100.0 25.0
7319552 100.0 25.0
7320576 100.0 25.0
7321600 100.0 25.0
7322624 100.0 25.0
7323648 100.0 25.0
7324672 100.0 25.0
7325696 100.0 25.0
7326720 100.0 25.0
7327744 100.0 25.0
7328768 100.0 25.0
7329792 100.0 25.0
7330816 100.0 25.0
7331840 100.0 25.0
7332864 100.0 25.0
7333888 100.0 25.0
7334912 100.0 25.0
7335936 100.0 25.0
7336960 100.0 25.0
7337984 100.0 25.0
7339008 100.0 25.0
7340032 100.0 25.0
7341056 100.0 25.0
7342080 100.0 25.0
7343104 100.0 25.0
7344128 100.0 25.0
7345152 100.0 25.0
7346176 100.0 25.0
7347200 100.0 25.0
7348224 100.0 25.0
7349248 100.0 25.0
7350272 100.0 25.0
7351296 100.0 25.0
7352320 100.0 25.0
7353344 100.0 25.0
7354368 100.0 25.0
7355392 100.0 25.0
7356416 100.0 25.0
7357440 100.0 25.0
7358464 100.0 25.0
7359488 100.0 25.0
7360512 100.0 25.0
7361536 100.0 25.0
7362560 100.0 25.0
7363584 100.0 25.0
7364608 100.0 25.0
7365632 100.0 25.0
7366656 100.0 25.0
7367680 100.0 25.0
7368704 100.0 25.0
7369728 100.0 25.0
7370752 100.0 25.0
7371776 100.0 25.0
7372800 100.0 25.0
7373824 100.0 25.0
7374848 100.0 25.0
7375872 100.0 25.0
7376896 100.0 25.0
7377920 100.0 25.0
7378944 100.0 25.0
7379968 100.0 25.0
7380992 100.0 25.0
7382016 100.0 25.0
7383040 100.0 25.0
7384064 100.0 25.0
7385088 100.0 25.0
7386112 100.0 25.0
7387136 100.0 25.0
7388160 100.0 25.0
7389184 100.0 25.0
7390208 100.0 25.0
7391232 100.0 25.0
7392256 100.0 25.0
7393280 100.0 25.0
7394304 100.0 25.0
7395328 100.0 25.0
7396352 100.0 25.0
7397376 100.0 25.0
7398400 100.0 25.0
7399424 100.0 25.0
7400448 100.0 25.0
7401472 100.0 25.0
7402496 100.0 25.0
7403520 100.0 25.0
7404544 100.0 25.0
7405568 100.0 25.0
7406592 100.0 25.0
7407616 100.0 25.0
7408640 100.0 25.0
7409664 100.0 25.0
7410688 100.0 25.0
7411712 100.0 25.0
7412736 100.0 25.0
7413760 84.0 23.0
7414784 100.0 25.0
7415808 100.0 25.0
7416832 84.0 23.0
7417856 100.0 25.0
7418880 84.0 23.0
7419904 100.0 25.0
7420928 100.0 25.0
7421952 100.0 25.0
7422976 100.0 25.0
7424000 100.0 25.0
7425024 100.0 25.0
7426048 100.0 25.0
7427072 76.0 21.0
7428096 100.0 25.0
7429120 100.0 25.0
7430144 100.0 25.0
7431168 84.0 23.0
7432192 100.0 25.0
7433216 100.0 25.0
7434240 100.0 25.0
7435264 100.0 25.0
7436288 100.0 25.0
7437312 100.0 25.0
7438336 100.0 25.0
7439360 100.0 25.0
7440384 100.0 25.0
7441408 100.0 25.0
7442432 100.0 25.0
7443456 100.0 25.0
7444480 100.0 25.0
7445504 100.0 25.0
7446528 100.0 25.0
7447552 100.0 25.0
7448576 100.0 25.0
7449600 100.0 25.0
